RUN	com.myGatlingTest.MyComputerJourney	mycomputerjourney	1614037657540	l	3.3.1
REQUEST	123		LoadHomePage	1614037680994	1614037681674	OK	 
USER	MyComputerJourney	137	START	1614037681679	1614037681679
REQUEST	16		LoadNewComputerPage	1614037681545	1614037681714	OK	 
REQUEST	19		LoadNewComputerPage	1614037681545	1614037681719	OK	 
REQUEST	18		LoadNewComputerPage	1614037681545	1614037681719	OK	 
USER	MyComputerJourney	138	START	1614037681725	1614037681725
REQUEST	124		LoadHomePage	1614037681050	1614037681728	OK	 
REQUEST	17		LoadNewComputerPage	1614037681585	1614037681755	OK	 
REQUEST	125		LoadHomePage	1614037681086	1614037681766	OK	 
USER	MyComputerJourney	139	START	1614037681777	1614037681777
REQUEST	126		LoadHomePage	1614037681153	1614037681824	OK	 
USER	MyComputerJourney	140	START	1614037681830	1614037681830
USER	MyComputerJourney	141	START	1614037681876	1614037681876
REQUEST	127		LoadHomePage	1614037681186	1614037681879	OK	 
REQUEST	128		LoadHomePage	1614037681217	1614037681898	OK	 
REQUEST	21		LoadNewComputerPage	1614037681746	1614037681914	OK	 
REQUEST	22		LoadNewComputerPage	1614037681746	1614037681917	OK	 
REQUEST	20		LoadNewComputerPage	1614037681746	1614037681918	OK	 
USER	MyComputerJourney	142	START	1614037681932	1614037681932
REQUEST	129		LoadHomePage	1614037681279	1614037681953	OK	 
USER	MyComputerJourney	143	START	1614037681982	1614037681982
REQUEST	130		LoadHomePage	1614037681331	1614037682012	OK	 
USER	MyComputerJourney	144	START	1614037682031	1614037682031
REQUEST	27		LoadNewComputerPage	1614037681876	1614037682039	OK	 
REQUEST	131		LoadHomePage	1614037681378	1614037682062	OK	 
REQUEST	24		LoadNewComputerPage	1614037681897	1614037682063	OK	 
USER	MyComputerJourney	145	START	1614037682081	1614037682081
REQUEST	23		LoadNewComputerPage	1614037681917	1614037682092	OK	 
REQUEST	132		LoadHomePage	1614037681433	1614037682102	OK	 
REQUEST	28		LoadNewComputerPage	1614037681934	1614037682106	OK	 
REQUEST	25		LoadNewComputerPage	1614037681948	1614037682126	OK	 
REQUEST	26		LoadNewComputerPage	1614037681948	1614037682126	OK	 
USER	MyComputerJourney	146	START	1614037682133	1614037682133
REQUEST	29		LoadNewComputerPage	1614037681964	1614037682134	OK	 
REQUEST	133		LoadHomePage	1614037681482	1614037682145	OK	 
USER	MyComputerJourney	147	START	1614037682180	1614037682180
REQUEST	30		LoadNewComputerPage	1614037682016	1614037682183	OK	 
REQUEST	134		LoadHomePage	1614037681533	1614037682196	OK	 
USER	MyComputerJourney	148	START	1614037682231	1614037682231
REQUEST	5		CreateNewComputer	1614037682085	1614037682250	OK	 
REQUEST	135		LoadHomePage	1614037681576	1614037682270	OK	 
USER	MyComputerJourney	149	START	1614037682280	1614037682280
REQUEST	32		LoadNewComputerPage	1614037682116	1614037682286	OK	 
REQUEST	31		LoadNewComputerPage	1614037682116	1614037682290	OK	 
REQUEST	136		LoadHomePage	1614037681627	1614037682310	OK	 
USER	MyComputerJourney	150	START	1614037682347	1614037682347
REQUEST	2		FilterComputer	1614037682165	1614037682332	KO	regex(computers\/([0-9]{3,5})).find.exists, found nothing
REQUEST	1		FilterComputer	1614037682166	1614037682341	KO	regex(computers\/([0-9]{3,5})).find.exists, found nothing
ERROR	GetSingleComputer: Failed to build request: No attribute named 'topComputerInList' is defined 	1614037682354
ERROR	GetSingleComputer: Failed to build request: No attribute named 'topComputerInList' is defined 	1614037682354
ERROR	DeleteComputer: Failed to build request: No attribute named 'topComputerInList' is defined 	1614037682363
ERROR	DeleteComputer: Failed to build request: No attribute named 'topComputerInList' is defined 	1614037682363
REQUEST	137		LoadHomePage	1614037681679	1614037682367	OK	 
USER	MyComputerJourney	2	END	1614037665187	1614037682375
USER	MyComputerJourney	1	END	1614037665164	1614037682375
USER	MyComputerJourney	151	START	1614037682377	1614037682377
REQUEST	33		LoadNewComputerPage	1614037682196	1614037682378	OK	 
REQUEST	138		LoadHomePage	1614037681726	1614037682401	OK	 
REQUEST	34		LoadNewComputerPage	1614037682234	1614037682402	OK	 
USER	MyComputerJourney	152	START	1614037682432	1614037682432
REQUEST	5		CreateNewComputer Redirect 1	1614037682251	1614037682433	OK	 
REQUEST	139		LoadHomePage	1614037681778	1614037682444	OK	 
REQUEST	35		LoadNewComputerPage	1614037682296	1614037682466	OK	 
REQUEST	36		LoadNewComputerPage	1614037682317	1614037682479	OK	 
USER	MyComputerJourney	153	START	1614037682481	1614037682481
USER	MyComputerJourney	154	START	1614037682532	1614037682532
REQUEST	140		LoadHomePage	1614037681830	1614037682541	OK	 
REQUEST	37		LoadNewComputerPage	1614037682364	1614037682545	OK	 
REQUEST	141		LoadHomePage	1614037681877	1614037682550	OK	 
USER	MyComputerJourney	155	START	1614037682574	1614037682574
REQUEST	142		LoadHomePage	1614037681933	1614037682607	OK	 
REQUEST	38		LoadNewComputerPage	1614037682432	1614037682611	OK	 
USER	MyComputerJourney	156	START	1614037682633	1614037682633
REQUEST	39		LoadNewComputerPage	1614037682466	1614037682649	OK	 
USER	MyComputerJourney	157	START	1614037682681	1614037682681
REQUEST	143		LoadHomePage	1614037681984	1614037682682	OK	 
